ENV;CLONE;REP;ATR;FIBRA;TCH;TAH
AGR;G01;1;152.59;11.87;79.6;12.146164
AGR;G01;2;157.15;12.98;81.9;12.870585
AGR;G01;3;141.46;12.9;63.8;9.025148
AGR;G01;4;126.3629357;14.07833242;73.8;9.325584653
AGR;G02;1;127.01;13.15;64.1;8.141341
AGR;G02;2;114.83;12.88;83.8;9.622754
AGR;G02;3;136.54;12.56;66.7;9.107218
AGR;G02;4;134.28;12.56;76.4;10.258992
AGR;G03;1;139.85;13.21;52.8;7.38408
AGR;G03;2;141.77;13;73.4;10.405918
AGR;G03;3;147.28;13.82;52.2;7.688016
AGR;G03;4;153.26;13.65;80.9;12.398734
AGR;G04;1;142.43;14.34;78.3;11.152269
AGR;G04;2;137.72;12.85;71.5;9.84698
AGR;G04;3;137.39;13.3;74.4;10.221816
AGR;G04;4;131.52;12.9;59.4;7.812288
AGR;G05;1;126.02;13.41;125.6;15.828112
AGR;G05;2;132.6;13.09;54.3;7.20018
AGR;G05;3;131.43;14.76;67;8.80581
AGR;G05;4;131.81;12.27;89.9;11.849719
AGR;G06;1;138.01;12.25;83.4;11.510034
AGR;G06;2;131.56;13.2;105;13.8138
AGR;G06;3;146.03;12.76;69.7;10.178291
AGR;G06;4;113.11;12.91;108.5;12.272435
AGR;G07;1;157.52;12.02;113.9;17.941528
AGR;G07;2;142.47;12.37;79.9;11.383353
AGR;G07;3;141.67;12.94;92.3;13.076141
AGR;G07;4;149.86;12.25;111.1;16.649446
AGR;G08;1;125.79;13.08;80.8;10.163832
AGR;G08;2;125.27;13.46;62.7;7.854429
AGR;G08;3;108.75;14.36;62.8;6.8295
AGR;G08;4;134.35;14.36;68.5;9.202975
AGR;G09;1;113.78;11.72;113.3;12.891274
AGR;G09;2;133.47;13.22;54.7;7.300809
AGR;G09;3;124.78;13.61;31.7;3.955526
AGR;G09;4;115.57;13.26;55.6;6.425692
AGR;G10;1;118.98;14.65;91.5;10.88667
AGR;G10;2;140.92;13.12;102.7;14.472484
AGR;G10;3;126.15;13.97;97.9;12.350085
AGR;G10;4;112.98;13.38;88.5;9.99873
AGR;G11;1;136.76;12.41;97.2;13.293072
AGR;G11;2;138.98;12.98;79.4;11.035012
AGR;G11;3;143.8;12.33;90;12.942
AGR;G11;4;126.66;12.87;109.3;13.843938
BIO;G01;1;151.03;10.95;235;35.49205
BIO;G01;2;157.82;10.78;181.1;28.581202
BIO;G01;3;162.22;11.88;184.2;29.880924
BIO;G01;4;170.46;11.15;233;39.71718
BIO;G02;1;168.99;10.37;189.6;32.040504
BIO;G02;2;161.65;10.66;183.1;29.598115
BIO;G02;3;165.72;11.25;154;25.52088
BIO;G02;4;152.93;11.77;200.2;30.616586
BIO;G03;1;168.5;10.93;165.4;27.8699
BIO;G03;2;164.52;12.85;159.7;26.273844
BIO;G03;3;186.03;10.51;146.4;27.234792
BIO;G03;4;169.89;11.37;199.4;33.876066
BIO;G04;1;159.4;11.78;248.3;39.57902
BIO;G04;2;169.74;11.7;176.7;29.993058
BIO;G04;3;161.71;11.31;226.9;36.691999
BIO;G04;4;151.79;10.72;249.2;37.826068
BIO;G05;1;154.54;11.15;237.2;36.656888
BIO;G05;2;142.77;11.27;259.3;37.020261
BIO;G05;3;156.37;12.08;183;28.61571
BIO;G05;4;159.9;11.66;196.2;31.37238
BIO;G06;1;163.59;12.39;226.8;37.102212
BIO;G06;2;156.25;10.98;208;32.5
BIO;G06;3;159.05;10.39;190.3;30.267215
BIO;G06;4;168.81;11.29;204.7;34.555407
BIO;G07;1;167.16;12.07;168.9;28.233324
BIO;G07;2;172.17;11.71;214.2;36.878814
BIO;G07;3;177.52;12.08;216.6;38.450832
BIO;G07;4;175.56;12.21;188.8;33.145728
BIO;G08;1;155.39;12.16;200;31.078
BIO;G08;2;151.07;11.81;192.5;29.080975
BIO;G08;3;163.76;11.6;237.6;38.909376
BIO;G08;4;153.43;11.66;181.1;27.786173
BIO;G09;1;167.82;11.17;164.6;27.623172
BIO;G09;2;161.46;11.53;173.7;28.045602
BIO;G09;3;169.14;11.7;166.1;28.094154
BIO;G09;4;173.6;12.06;203.2;35.27552
BIO;G10;1;149.63;12.43;207.5;31.048225
BIO;G10;2;151.34;13.4;226.6;34.293644
BIO;G10;3;163.45;12.73;194.6;31.80737
BIO;G10;4;156.09;14.55;219.1;34.199319
BIO;G11;1;158.96;11.3;185.7;29.518872
BIO;G11;2;169.96;12.77;187.5;31.8675
BIO;G11;3;171.04;11.63;197.3;33.746192
BIO;G11;4;157.04;11.47;224.3;35.224072
UAV;G01;1;133.24;12.01;68.5;9.12694
UAV;G01;2;139.41;11.98;68.7;9.577467
UAV;G01;3;144.93;12.46;81.6;11.826288
UAV;G01;4;141.31;11.83;78.7;11.121097
UAV;G02;1;108.66;12.78;33.4;3.629244
UAV;G02;2;126.82;12.46;80.3;10.183646
UAV;G02;3;126.38;12.26;68.2;8.619116
UAV;G02;4;123.34;12.35;65.4;8.066436
UAV;G03;1;147.84;14.61;52.7;7.791168
UAV;G03;2;151.92;13.04;52.4;7.960608
UAV;G03;3;138.8;13.13;59;8.1892
UAV;G03;4;132.46;13.35;40.7;5.391122
UAV;G04;1;124.85;12.97;69.2;8.63962
UAV;G04;2;133.56;13.13;60.4;8.067024
UAV;G04;3;128.86;13.81;41.4;5.334804
